"ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,""2019"
"[note 1]"""
"ITL3,TLJ22,East Sussex,""11,798"",""11,989"",""12,494"",""13,173"",""13,685"",""14,036"",""14,267"",""14,554"",""15,180"",""15,765"",""16,938"",""17,434"",""17,745"",""18,338"",""18,266"",""18,782"",""19,661"",""19,899"",""20,994"",""21,373"",""21,574"",""22,143"",""22,572"""
"ITL3,TLJ25,West Surrey,""16,290"",""16,909"",""17,566"",""18,295"",""18,546"",""19,104"",""19,143"",""19,795"",""20,916"",""22,180"",""22,983"",""23,299"",""23,477"",""23,552"",""23,933"",""25,055"",""26,264"",""26,973"",""28,775"",""28,946"",""29,473"",""30,930"",""31,349"""
"ITL3,TLJ26,East Surrey,""15,848"",""16,601"",""17,130"",""17,921"",""18,140"",""18,746"",""18,832"",""19,428"",""20,686"",""22,055"",""22,931"",""23,140"",""22,998"",""23,100"",""23,418"",""24,625"",""25,530"",""26,067"",""28,030"",""28,200"",""28,600"",""29,622"",""30,334"""
"ITL3,TLJ27,West Sussex (South West),""11,497"",""12,007"",""12,231"",""13,131"",""13,806"",""14,139"",""14,365"",""14,863"",""15,632"",""16,245"",""16,919"",""17,194"",""17,513"",""17,853"",""18,250"",""18,971"",""19,736"",""20,053"",""21,389"",""21,717"",""22,187"",""23,018"",""23,470"""
"ITL3,TLJ28,West Sussex (North East),""14,851"",""14,937"",""15,195"",""16,124"",""16,578"",""16,901"",""17,096"",""17,656"",""18,321"",""18,823"",""19,462"",""19,666"",""19,742"",""19,863"",""20,249"",""20,899"",""21,745"",""22,099"",""23,074"",""23,576"",""23,938"",""24,995"",""25,689"""
"ITL3,TLJ31,Portsmouth,""9,369"",""9,396"",""9,943"",""10,798"",""10,762"",""11,224"",""11,311"",""11,347"",""11,345"",""11,546"",""12,186"",""12,550"",""13,167"",""13,119"",""13,279"",""13,368"",""13,969"",""14,248"",""15,247"",""15,556"",""15,858"",""16,509"",""17,028"""
"ITL3,TLJ32,Southampton,""9,613"",""9,506"",""9,665"",""10,312"",""10,625"",""11,060"",""11,183"",""11,538"",""11,676"",""12,185"",""12,916"",""13,119"",""13,465"",""13,469"",""13,661"",""13,937"",""14,339"",""14,639"",""15,178"",""15,665"",""16,185"",""16,950"",""17,529"""
"ITL3,TLJ34,Isle of Wight,""9,834"",""10,038"",""10,312"",""10,828"",""11,594"",""11,915"",""12,017"",""12,574"",""13,149"",""13,765"",""14,397"",""14,786"",""15,525"",""15,820"",""16,071"",""16,239"",""16,625"",""16,628"",""17,214"",""17,356"",""17,657"",""18,508"",""19,211"""
"ITL3,TLJ35,South Hampshire,""10,795"",""10,992"",""11,476"",""12,131"",""12,717"",""13,293"",""13,487"",""14,081"",""14,555"",""15,005"",""15,815"",""16,286"",""16,867"",""16,921"",""17,241"",""18,084"",""18,828"",""19,149"",""19,987"",""19,977"",""20,141"",""20,821"",""21,416"""
"ITL3,TLJ36,Central Hampshire,""13,438"",""13,708"",""14,203"",""15,254"",""15,772"",""16,195"",""16,357"",""17,119"",""17,759"",""18,429"",""19,401"",""20,042"",""20,454"",""20,521"",""20,788"",""21,798"",""22,194"",""22,707"",""24,294"",""24,440"",""24,947"",""25,972"",""26,679"""
